ds,trend,yhat,Country
2020-02-16,-9703.121238,616.6511887686447,India
2020-02-17,-9365.76045780723,0.0,India
2020-02-18,-9028.399677614458,0.0,India
2020-02-19,-8691.038897421688,0.0,India
2020-02-20,-8353.678117228916,192.97586645376214,India
2020-02-21,-8016.317337036143,683.3011853922426,India
2020-02-22,-7678.956560004706,853.9724950508953,India
2020-02-23,-7341.59578297327,571.4277641935596,India
2020-02-24,-7004.235005941833,0.0,India
2020-02-25,-6666.874228910396,0.0,India
2020-02-26,-6329.513451878959,0.0,India
2020-02-27,-5992.152674847523,0.0,India
2020-02-28,-5654.791897811415,29.501949325152054,India
2020-02-29,-5317.431120775304,309.31902257151705,India
2020-03-01,-4980.070343739197,350.389419300197,India
2020-03-02,-4642.709566703088,0.0,India
2020-03-03,-4305.348789666978,0.0,India
2020-03-04,-3967.9880109490164,401.87630213724833,India
2020-03-05,-3630.6272322310547,624.7068616656238,India
2020-03-06,-3293.2664535130925,667.3713294564359,India
2020-03-07,-2955.905674795131,486.1941880549657,India
2020-03-08,-2618.544896077169,235.678317382125,India
2020-03-09,-2281.184117621685,0.0,India
2020-03-10,-1943.8233391662015,0.0,India
2020-03-11,-1606.462560710719,102.27579020130838,India
2020-03-12,-1269.101782255233,161.3370813530712,India
2020-03-13,-931.7410037997521,90.81691468089082,India
2020-03-14,-594.3802241171227,0.0,India
2020-03-15,-257.0194444344933,0.0,India
2020-03-16,80.34133524813771,0.0,India
2020-03-17,417.70211493076533,0.0,India
2020-03-18,755.0628946133947,9.340112877383035,India
2020-03-19,1092.4236742960275,123.37747244458717,India
2020-03-20,1429.7844541767267,218.85031798010073,India
2020-03-21,1767.1452340574263,349.9321944142423,India
2020-03-22,2104.506013938127,628.8494284987185,India
2020-03-23,2441.8667938188264,0.0,India
2020-03-24,2779.2275736995275,207.87968970482189,India
2020-03-25,3116.588352342776,133.8912950334502,India
2020-03-26,3453.9491309860277,53.441106113084516,India
2020-03-27,3791.309909629278,26.663588370222897,India
2020-03-28,4128.670688272528,54.520932487378104,India
2020-03-29,4466.031466915778,97.08912563731428,India
2020-03-30,4803.392246376931,0.0,India
2020-03-31,5140.753025838084,0.0,India
2020-04-01,5478.113805299234,485.3170098849014,India
2020-04-02,5815.474584760386,934.7444495180698,India
2020-04-03,6152.83536422154,1308.9839557719788,India
2020-04-04,6490.19614368269,1406.7517343070022,India
2020-04-05,6827.556896427092,1162.9751879228115,India
2020-04-06,7164.917649171499,0.0,India
2020-04-07,7502.278401915899,61.707168083130455,India
2020-04-08,7839.639154660302,513.8628720918159,India
2020-04-09,8176.999907404705,939.1836045950886,India
2020-04-10,8514.360663234907,1299.5338776947747,India
2020-04-11,8851.721419065112,1305.6564739085825,India
2020-04-12,9189.082174895311,944.3290047887112,India
2020-04-13,9526.442930725516,0.0,India
2020-04-14,9863.803686555722,0.0,India
2020-04-15,10201.164443046911,640.6937703443728,India
2020-04-16,10538.525199538106,1246.8798925715419,India
2020-04-17,10875.885956029299,1674.2433669688016,India
2020-04-18,11213.246712520488,1712.916577033864,India
2020-04-19,11550.607469011682,1449.0664698225755,India
2020-04-20,11887.968226408939,471.17077478558895,India
2020-04-21,12225.328983806197,941.807927359012,India
2020-04-22,12562.689741203454,1745.204720939968,India
2020-04-23,12900.050498600713,2276.693686437913,India
2020-04-24,13237.411255997966,2485.8479958565586,India
2020-04-25,13574.772013395223,2275.3198513963016,India
2020-04-26,13912.13277118095,1843.4424999977746,India
2020-04-27,14249.493528966674,746.1562544042063,India
2020-04-28,14586.854286752403,1110.6514248761905,India
2020-04-29,14924.215044538127,1824.8588481468796,India
2020-04-30,15261.575802323856,2394.834982358152,India
2020-05-01,15598.936552095478,2886.908742716583,India
2020-05-02,15936.297301867095,3161.628293911268,India
2020-05-03,16273.658051638715,3238.689266107831,India
2020-05-04,16611.01880141034,2411.3518218852114,India
2020-05-05,16948.37955118196,2687.745503217735,India
2020-05-06,17285.740303464187,3036.0740417159304,India
2020-05-07,17623.101055746414,3213.4862855167485,India
2020-05-08,17960.461808028645,3473.088943669729,India
2020-05-09,18297.822560310873,3741.9555312281173,India
2020-05-10,18635.1833125931,3898.215412998772,India
2020-05-11,18972.54406584082,3096.4810764288595,India
2020-05-12,19309.904819088522,3337.6181436992483,India
2020-05-13,19647.26557233623,3690.5176686812338,India
2020-05-14,19984.626325583944,4006.394136354993,India
2020-05-15,20321.98707883165,4530.865743182909,India
2020-05-16,20659.347832079355,5072.011481604961,India
2020-05-17,20996.708587989662,5407.053039206001,India
2020-05-18,21334.069343899966,4681.342504222652,India
2020-05-19,21671.43009981027,4999.93888535121,India
2020-05-20,22008.790855720577,5532.493569451624,India
2020-05-21,22346.151611630885,6098.73043664193,India
2020-05-22,22683.512367952495,6821.949756261243,India
2020-05-23,23020.873124274105,7372.74549242674,India
2020-05-24,23358.233880595715,7516.573675836209,India
2020-05-25,23695.594636917325,6505.915194426791,India
